case_id,use_case,expected_title,search_query,metadata_filter_applied,rag_score,passed,accuracy,rank,avg_distance,best_distance,top_distance,avg_rerank_score,top_rerank_score,best_rerank_score,faithfulness,answer_relevance,context_relevance,semantic_context_precision,semantic_context_recall,semantic_retrieval_hit,semantic_retrieval_top1,semantic_retrieval_rank,semantic_reciprocal_rank,context_precision,context_recall,exact_title_precision,exact_title_recall,exact_match,reference_title_retrieved,hallucination_detected,uses_correct_context,wrong_context,expected_title_mentioned,generation_error,judge_error
case-001,genre_rating,The Sword and the Rose,Recommend an Adventure movie with a moderate IMDb rating.,True,0.9333333333333332,True,5,,0.4553723454475403,0.41603803634643555,0.41603803634643555,1.7850472927093506,2.8452398777008057,2.8452398777008057,5,5,4,4,5,True,True,1,1.0,0.8,1.0,0.0,0.0,False,False,False,True,False,False,,
case-002,director_year,Prozac Nation,Suggest movies like a Biography film around 2001.,True,0.9333333333333332,True,4,1,0.6245231389999389,0.5647059679031372,0.6957207918167114,3.0654088258743286,6.466731548309326,6.466731548309326,5,4,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-003,actor_genre,The Krays,Find a Biography movie with Gary Kemp or similar cast.,True,1.0,True,5,1,0.5711864233016968,0.5711864233016968,0.5711864233016968,3.984250783920288,3.984250783920288,3.984250783920288,5,5,5,5,5,True,True,1,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,True,,
case-004,duration_certificate,The Final Equation,Recommend a Sci-Fi movie rated R and around two hours or less.,True,0.7666666666666666,False,3,,0.5321730852127076,0.48429930210113525,0.5490599870681763,1.2017504692077636,1.9763920307159424,1.9763920307159424,2,3,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,True,True,False,False,,
case-005,multi_constraint,Die Welt ohne Maske,"Find a Comedy movie from around 1934, with a moderate IMDb rating",True,1.0,True,5,1,0.5661298036575317,0.5661298036575317,0.5661298036575317,5.316784381866455,5.316784381866455,5.316784381866455,5,5,5,5,5,True,True,1,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,True,,
case-006,vague_preference,Firebird,Recommend something similar in profile to a Biography movie from the 2021 period.,True,1.0,True,5,,0.7143852710723877,0.664374828338623,0.6708981990814209,0.8120646238327026,1.0582255125045776,1.0582255125045776,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-007,out_of_scope,Virtually Heroes,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6,False,5,,0.5423059463500977,0.4970123767852783,0.5014501810073853,-9.043991470336914,-7.973634719848633,-7.973634719848633,5,5,1,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
case-008,genre_rating,Tarzan,Recommend an Animation movie with a strong IMDb rating.,True,0.9666666666666667,True,5,,0.4889639616012573,0.44719672203063965,0.5103729963302612,1.0555234909057618,1.332951545715332,1.332951545715332,5,5,5,4,5,True,True,1,1.0,0.8,1.0,0.0,0.0,False,False,False,True,False,False,,
case-009,director_year,Une vie en l'air,Suggest movies like a Sci-Fi film around 2004.,True,0.9666666666666667,True,5,1,0.6150291085243225,0.5636529922485352,0.6328225135803223,2.816573476791382,6.698225975036621,6.698225975036621,5,5,5,4,5,True,True,1,1.0,0.8,1.0,0.2,1.0,True,True,False,True,False,True,,
case-010,actor_genre,Richard Jewell,Find a Biography movie with actors like Billy Ray.,True,1.0,True,5,2,0.6950041353702545,0.6537002325057983,0.7363080382347107,4.009124159812927,4.052857875823975,4.052857875823975,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.5,1.0,True,True,False,True,False,True,,
case-011,duration_certificate,Newsies,Recommend a Drama movie rated PG and longer than two hours.,True,0.5666666666666667,False,1,3,0.551373279094696,0.5077418684959412,0.5879069566726685,0.17728165686130523,0.5895042419433594,0.5895042419433594,1,1,5,4,5,True,True,1,1.0,0.8,1.0,0.2,1.0,False,True,True,False,True,False,,
case-012,multi_constraint,Stuart Little 2,"Find an Adventure, Comedy, Family movie released around 2002.",True,1.0,True,5,1,0.5537473201751709,0.5067778825759888,0.5069296956062317,3.97182092666626,5.83245325088501,5.83245325088501,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-013,vague_preference,Battleworld,Recommend something similar in profile to an Animation movie from the 2022 period.,True,1.0,True,5,4,0.6122626423835754,0.5685741305351257,0.5685741305351257,0.7186349511146546,0.9717132449150085,0.9717132449150085,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,False,True,False,True,False,False,,
case-014,out_of_scope,Night at the Museum,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6,False,5,,0.5423059463500977,0.4970123767852783,0.5014501810073853,-9.043991470336914,-7.973634719848633,-7.973634719848633,5,5,1,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
case-015,genre_rating,Get Out,Recommend a Horror movie with a strong IMDb rating.,True,1.0,True,5,3,0.515888786315918,0.4681301712989807,0.532794713973999,1.4244005680084229,1.6929463148117065,1.6929463148117065,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-016,director_year,The Queen,Suggest movies like a Biography film around 2006.,True,0.9,True,5,1,0.6574282050132751,0.6055921316146851,0.6055921316146851,3.510901355743408,6.641407012939453,6.641407012939453,5,5,4,3,5,True,True,1,1.0,0.6,1.0,0.2,1.0,True,True,False,True,False,True,,
case-017,actor_genre,Rabbids Escape,Find an Action movie with Daniel Radcliffe or a similar cast profile.,True,0.8666666666666667,False,4,,0.47940514087677,0.43177539110183716,0.43177539110183716,3.221379804611206,3.5114359855651855,3.5114359855651855,3,4,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,True,True,False,False,,
case-018,duration_certificate,Bolivar soy yo,Recommend a Comedy movie rated R and around two hours or less.,True,1.0,True,5,,0.584047544002533,0.5668789744377136,0.6067376136779785,-0.34596726298332214,0.5106362104415894,0.5106362104415894,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-019,multi_constraint,The Elk Hotel,"Find a Drama movie from around 2006, with a lower IMDb rating",True,1.0,True,5,1,0.6027561664581299,0.5377482175827026,0.6664944291114807,0.6512900233268738,5.456199645996094,5.456199645996094,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-020,vague_preference,Martial Universe 2: Nine Talisman Tower,Recommend something similar in profile to an Action movie from the 2021 period.,True,1.0,True,5,,0.6348724126815796,0.6068658828735352,0.6068658828735352,-0.31082409918308257,0.30001455545425415,0.30001455545425415,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-021,out_of_scope,Ralph Breaks the Internet,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6,False,5,,0.5423059463500977,0.4970123767852783,0.5014501810073853,-9.043991470336914,-7.973634719848633,-7.973634719848633,5,5,1,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
